N,종목명,현재가,전일비,등락률,액면가,시가,고가,매출액
1.0,삼성전자,61800.0,400.0,+0.65%,100.0,61800.0,62400.0,2796048.0
2.0,LG에너지솔루션,598000.0,1000.0,+0.17%,500.0,600000.0,613000.0,178519.0
3.0,SK하이닉스,88400.0,700.0,+0.80%,5000.0,88700.0,91500.0,429978.0
4.0,삼성바이오로직스,882000.0,7000.0,+0.80%,2500.0,876000.0,889000.0,15680.0
5.0,LG화학,704000.0,4000.0,+0.57%,5000.0,701000.0,716000.0,426547.0
6.0,삼성SDI,701000.0,1000.0,+0.14%,5000.0,700000.0,716000.0,135532.0
7.0,삼성전자우,57100.0,100.0,-0.17%,100.0,56900.0,57500.0,
8.0,현대차,169500.0,500.0,-0.29%,5000.0,170000.0,173000.0,1176106.0
9.0,NAVER,185500.0,2500.0,-1.33%,100.0,187500.0,190000.0,68176.0
10.0,기아,66000.0,300.0,-0.45%,5000.0,66600.0,66900.0,698624.0
11.0,카카오,57700.0,1400.0,-2.37%,100.0,58900.0,59200.0,61367.0
12.0,셀트리온,178000.0,1500.0,-0.84%,1000.0,180500.0,181000.0,19116.0
13.0,POSCO홀딩스,289500.0,5500.0,+1.94%,5000.0,288000.0,295500.0,763323.0
14.0,삼성물산,121500.0,1500.0,+1.25%,100.0,121000.0,122000.0,344552.0
15.0,현대모비스,216000.0,5000.0,+2.37%,5000.0,213000.0,216500.0,417022.0
16.0,KB금융,49000.0,450.0,+0.93%,5000.0,48650.0,49500.0,589176.0
17.0,신한지주,36300.0,450.0,+1.26%,5000.0,35900.0,36650.0,286756.0
18.0,포스코케미칼,224000.0,500.0,-0.22%,500.0,226000.0,230000.0,19895.0
19.0,SK이노베이션,172500.0,1500.0,+0.88%,5000.0,171000.0,176000.0,468429.0
20.0,SK,211000.0,5500.0,-2.54%,200.0,215000.0,216500.0,983250.0
21.0,LG전자,92000.0,900.0,-0.97%,5000.0,93100.0,94600.0,747216.0
22.0,삼성생명,66500.0,900.0,-1.34%,500.0,66700.0,67600.0,350791.0
23.0,카카오뱅크,27700.0,550.0,-1.95%,5000.0,28300.0,28500.0,10649.0
24.0,LG,83300.0,700.0,-0.83%,5000.0,83600.0,84900.0,68590.0
25.0,KT&G,95000.0,300.0,+0.32%,5000.0,94800.0,95800.0,52284.0
26.0,고려아연,648000.0,6000.0,+0.93%,5000.0,642000.0,660000.0,99768.0
27.0,한국전력,19700.0,150.0,+0.77%,5000.0,19600.0,20100.0,605748.0
28.0,하나금융지주,41400.0,400.0,+0.98%,5000.0,40900.0,41750.0,416778.0
29.0,크래프톤,230000.0,500.0,+0.22%,100.0,230500.0,235500.0,18863.0
